"sub"	"block"	"stim"	"acc"	"rt"
1	1	"00"	1	1455
1	1	"09"	1	780
1	1	"06"	1	756
1	1	"10"	1	1204
1	1	"07"	1	740
1	1	"14"	1	860
1	1	"15"	1	763
1	1	"19"	1	747
1	1	"02"	1	652
1	1	"04"	1	1300
1	1	"12"	1	828
1	1	"08"	1	708
1	1	"17"	1	964
1	1	"18"	1	1076
1	1	"13"	1	1036
1	1	"11"	1	748
1	1	"16"	1	820
1	1	"01"	1	1155
1	1	"05"	1	811
1	1	"03"	1	843
1	2	"04"	1	736
1	2	"14"	1	563
1	2	"02"	1	612
1	2	"18"	1	603
1	2	"00"	1	619
1	2	"16"	1	675
1	2	"11"	1	707
1	2	"12"	1	651
1	2	"17"	1	532
1	2	"05"	1	524
1	2	"13"	1	612
1	2	"09"	1	572
1	2	"15"	1	556
1	2	"08"	1	532
1	2	"10"	1	540
1	2	"06"	1	691
1	2	"07"	1	492
1	2	"03"	1	467
1	2	"19"	1	779
1	2	"01"	1	579
1	3	"00"	1	904
1	3	"11"	1	748
1	3	"14"	1	756
1	3	"17"	1	875
1	3	"12"	1	956
1	3	"05"	1	772
1	3	"01"	1	660
1	3	"16"	1	668
1	3	"15"	1	900
1	3	"03"	1	708
1	3	"18"	1	716
1	3	"10"	1	1021
1	3	"04"	1	788
1	3	"06"	1	660
1	3	"09"	1	556
1	3	"02"	1	891
1	3	"13"	1	763
1	3	"07"	1	812
1	3	"08"	1	836
1	3	"19"	1	844
1	4	"15"	1	872
1	4	"22"	0	796
1	4	"12"	1	803
1	4	"08"	1	731
1	4	"19"	1	875
1	4	"01"	1	859
1	4	"34"	1	772
1	4	"20"	1	684
1	4	"29"	1	796
1	4	"18"	1	828
1	4	"33"	1	844
1	4	"36"	1	876
1	4	"30"	1	804
1	4	"35"	1	708
1	4	"07"	1	717
1	4	"10"	1	699
1	4	"02"	1	875
1	4	"00"	1	651
1	4	"37"	1	892
1	4	"21"	1	628
1	4	"14"	1	820
1	4	"09"	1	620
1	4	"31"	1	788
1	4	"04"	1	620
1	4	"38"	1	740
1	4	"13"	1	836
1	4	"25"	1	788
1	4	"16"	1	795
1	4	"11"	1	636
1	4	"06"	1	683
1	4	"39"	1	739
1	4	"05"	1	676
1	4	"26"	1	748
1	4	"32"	1	692
1	4	"03"	1	636
1	4	"28"	1	788
1	4	"17"	1	836
1	4	"23"	1	779
1	4	"24"	1	739
1	4	"27"	1	884
1	5	"05"	1	863
1	5	"16"	1	715
1	5	"06"	1	892
1	5	"08"	1	732
1	5	"14"	1	708
1	5	"15"	1	724
1	5	"12"	1	652
1	5	"11"	1	716
1	5	"17"	1	812
1	5	"01"	1	715
1	5	"02"	1	820
1	5	"09"	1	883
1	5	"07"	1	844
1	5	"03"	1	668
1	5	"13"	1	652
1	5	"19"	1	684
1	5	"04"	1	732
1	5	"10"	1	812
1	5	"00"	1	732
1	5	"18"	1	844
1	6	"09"	1	1127
1	6	"19"	1	820
1	6	"06"	1	828
1	6	"13"	1	1163
1	6	"17"	1	948
1	6	"10"	1	852
1	6	"03"	1	820
1	6	"02"	1	668
1	6	"07"	1	835
1	6	"00"	1	1035
1	6	"08"	1	1052
1	6	"14"	1	844
1	6	"01"	1	740
1	6	"18"	0	1645
1	6	"11"	1	1267
1	6	"16"	1	876
1	6	"05"	1	748
1	6	"15"	1	1012
1	6	"04"	1	667
1	6	"12"	1	920
1	7	"29"	1	912
1	7	"28"	1	756
1	7	"22"	1	708
1	7	"21"	1	795
1	7	"33"	1	1003
1	7	"14"	1	764
1	7	"27"	1	836
1	7	"20"	1	828
1	7	"06"	1	852
1	7	"34"	1	788
1	7	"08"	1	964
1	7	"10"	1	685
1	7	"05"	1	763
1	7	"12"	1	780
1	7	"03"	1	707
1	7	"07"	1	724
1	7	"35"	1	635
1	7	"39"	1	987
1	7	"30"	1	1052
1	7	"01"	1	780
1	7	"02"	1	708
1	7	"09"	1	764
1	7	"26"	0	988
1	7	"25"	1	1164
1	7	"11"	1	813
1	7	"31"	1	883
1	7	"37"	1	1363
1	7	"13"	1	803
1	7	"38"	1	1172
1	7	"17"	1	1396
1	7	"18"	1	1292
1	7	"00"	1	788
1	7	"04"	1	660
1	7	"15"	1	732
1	7	"19"	1	1036
1	7	"16"	1	1108
1	7	"32"	1	692
1	7	"36"	1	939
1	7	"23"	1	964
1	7	"24"	1	1068
